time,number_of_guests
59,26085.924384620754
60,26159.360487630976
61,26217.464454053945
62,26258.065204155788
63,26279.52085901018
64,26280.686575175325
65,26260.60826904974
66,26218.663988897242
67,26154.6485244519
68,26068.775345513644
69,25961.943160560324
70,25835.683530744467
71,25691.977875530665
72,25533.396366346464
73,25363.177593497363
74,25185.208684010147
75,25004.11539828656
76,24825.032396251525
77,24653.13052543502
78,24493.401482908637
79,24350.326185656744
80,24227.765391189943
81,24129.215663999228
82,24057.55318766215
83,24014.764355912772
84,24002.00504126286
85,24019.491597223318
86,24066.605163623564
87,24142.243424997967
88,24244.555058237278
89,24370.45144136222
90,24515.64769115284
91,24674.558637448245
92,24840.543720829744
93,25006.747575884736
94,25166.308690505943
95,25312.614410650698
96,25439.61686086013
97,25541.641793274306
98,25613.823337930913
99,25652.71890105589
100,25656.057222563228
101,25622.408053187297
102,25550.993516238155
103,25441.052464538905
104,25292.255017913547
105,25105.8963815105
106,24884.779895102525
107,24633.261731283936
108,24357.15853330169
109,24062.590476410445
110,23755.95519080586
111,23444.08561867839
112,23133.628139353532
113,22830.890963889535
114,22541.292669832565
115,22268.335210843543
116,22014.10328449594
117,21780.396984326562
118,21568.932564252744
119,21382.128039262523
120,21222.732503719522
121,21092.00238923521
122,20990.00523335063
123,20915.90907670558
124,20867.695936775708
125,20843.133097227
126,20839.503422409973
127,20852.75800013959
128,20878.360199269246
129,20912.113738586344
130,20950.555529819274
131,20992.051761006554
132,21036.24796428563
133,21082.23821557623
134,21128.50592156226
135,21172.44577144142
136,21210.451469467316
137,21239.74089152296
138,21257.97430777168
139,21262.6065344481
140,21251.54974279885
141,21222.91221733959
142,21175.492432574967
143,21110.109312090495
144,21028.81328937217
145,20933.47612430948
146,20825.711913571853
147,20706.10435605994
148,20574.588759320824
149,20432.463376730622
150,20282.23377311086
151,20127.50121119221
152,19973.14578543718
153,19823.982968931898
154,19684.97353259362
155,19561.914426234936
156,19460.61596613299
157,19386.47560494472
158,19343.91033342916
159,19335.002244376003
160,19360.08617095108
161,19419.3559847115
162,19512.824694987758
163,19640.854841561064
164,19803.92320797176
165,20000.70175905508
166,20228.38229669066
167,20483.197484394772
168,20760.122313376767
169,21053.84056517915
170,21358.69331685106
171,21668.037010281616
172,21975.08574592313
173,22273.68976009449
174,22558.842236105713
175,22827.839182971646
176,23079.78952276072
177,23313.94985780143
178,23529.66233240064
179,23725.810260266906
180,23900.97012255517
181,24055.251758720395
182,24189.86267655213
183,24306.427990154003
184,24407.37491546032
185,24495.193926338176
186,24572.570708505515
187,24643.22170694698
188,24711.0728833367
189,24779.270507202385
190,24849.88319064689
191,24922.99579123235
192,24997.15123758137
193,25071.067830484237
194,25143.73619435431
195,25214.845437324566
196,25284.8133702155
197,25353.272100593647
198,25419.531132246007
199,25483.33874471623
200,25544.425160063747
201,25602.8535061393
202,25658.78481800386
203,25711.50189284392
204,25760.061186483505
205,25804.35128083926
206,25845.09727757412
207,25884.354835296286
208,25925.2354104413
209,25970.474443588973
210,26022.415557247605
211,26082.93102883195
212,26153.20841308985
213,26234.594931143554
214,26328.28349534521
215,26434.67360627426
216,26553.711527836935
217,26684.863133937895
218,26827.264254597674
219,26980.400464312606
220,27143.780700466818
221,27316.237815261826
222,27496.07987345553
223,27680.997227474265
224,27868.189180820747
225,28055.175223882077
226,28239.83003464645
227,28420.3512375886
228,28595.40591570063
229,28763.73496988172
230,28924.222472698875
231,29076.12321757065
232,29218.98168639006
233,29352.814660309632
234,29478.05478701551
235,29595.280521810117
236,29705.33803773413
237,29809.459099834556
238,29909.203642214623
239,30006.5354210307
240,30103.635802849312
241,30202.4734665464
242,30304.666195121074
243,30411.275261537336
244,30522.87789690053
245,30640.074859635184
246,30763.528991082523
247,30894.06154303352
248,31032.614928007653
249,31179.712140095
250,31335.564835000107
251,31500.28132952275
252,31673.679702859663
253,31855.377810591817
254,32044.675607493024
255,32240.192258013765
256,32440.160629052025
257,32642.932951521965
258,32847.08417175114
259,33051.73931807918
260,33256.422260109684
261,33460.30864410174
262,33662.24681534901
263,33860.71609574006
264,34053.77870216646
265,34239.64466484099
266,34416.527196861585
267,34582.32353886908
268,34734.93244313742
269,34872.390317981415
270,34993.0760418435
271,35096.25079740163
272,35181.81219321328
273,35249.65180884139
274,35299.698917253285
275,35331.75155307581
276,35345.55637449354
277,35341.534389791996
278,35320.68374802095
279,35284.400846833094
280,35234.62548596385
281,35173.52934879909
