Date	SP500	Dividend	Earnings	Consumer Price Index	Real Price	Real Dividend	Real Earnings
1871-01-01	4,44	0,26	0,4	12,46	89	5,21	8,02
1871-02-01	4,5	0,26	0,4	12,84	87,53	5,06	7,78
1871-03-01	4,61	0,26	0,4	13,03	88,36	4,98	7,67
1871-04-01	4,74	0,26	0,4	12,56	94,29	5,17	7,96
1871-05-01	4,86	0,26	0,4	12,27	98,93	5,29	8,14
1871-06-01	4,82	0,26	0,4	12,08	99,66	5,38	8,27
1871-07-01	4,73	0,26	0,4	12,08	97,8	5,38	8,27
1871-08-01	4,79	0,26	0,4	11,89	100,62	5,46	8,4
1871-09-01	4,84	0,26	0,4	12,18	99,29	5,33	8,21
1871-10-01	4,59	0,26	0,4	12,37	92,71	5,25	8,08
1871-11-01	4,64	0,26	0,4	12,37	93,72	5,25	8,08
1871-12-01	4,74	0,26	0,4	12,65	93,58	5,13	7,9
1872-01-01	4,86	0,26	0,4	12,65	95,95	5,2	7,95
1872-02-01	4,88	0,27	0,41	12,65	96,35	5,27	8
1872-03-01	5,04	0,27	0,41	12,84	98,03	5,25	7,93
1872-04-01	5,18	0,27	0,41	13,13	98,56	5,2	7,8
1872-05-01	5,18	0,28	0,41	13,13	98,56	5,26	7,85
1872-06-01	5,13	0,28	0,41	13,03	98,32	5,37	7,95
1872-07-01	5,1	0,28	0,42	12,84	99,2	5,51	8,12
1872-08-01	5,04	0,29	0,42	12,94	97,31	5,54	8,11
1872-09-01	4,95	0,29	0,42	13,03	94,87	5,56	8,1
1872-10-01	4,97	0,29	0,42	12,75	97,39	5,75	8,33
1872-11-01	4,95	0,3	0,43	13,13	94,19	5,65	8,13
1872-12-01	5,07	0,3	0,43	12,94	97,89	5,79	8,3
1873-01-01	5,11	0,3	0,43	12,94	98,66	5,84	8,35
1873-02-01	5,15	0,3	0,43	13,23	97,29	5,76	8,22
1873-03-01	5,11	0,31	0,44	13,23	96,53	5,81	8,26
1873-04-01	5,04	0,31	0,44	13,23	95,21	5,86	8,31
1873-05-01	5,05	0,31	0,44	12,94	97,5	6,03	8,54
1873-06-01	4,98	0,32	0,45	12,56	99,07	6,27	8,85
1873-07-01	4,97	0,32	0,45	12,56	98,87	6,32	8,9
1873-08-01	4,97	0,32	0,45	12,56	98,87	6,37	8,95
1873-09-01	4,59	0,32	0,45	12,56	91,31	6,42	9
1873-10-01	4,19	0,33	0,46	12,27	85,29	6,62	9,26
1873-11-01	4,04	0,33	0,46	11,89	84,87	6,88	9,61
1873-12-01	4,42	0,33	0,46	12,18	90,67	6,77	9,44
1874-01-01	4,66	0,33	0,46	12,37	94,13	6,67	9,29
1874-02-01	4,8	0,33	0,46	12,37	96,95	6,67	9,29
1874-03-01	4,73	0,33	0,46	12,37	95,54	6,67	9,29
1874-04-01	4,6	0,33	0,46	12,18	94,37	6,77	9,44
1874-05-01	4,48	0,33	0,46	12,08	92,63	6,82	9,51
1874-06-01	4,46	0,33	0,46	11,8	94,44	6,99	9,74
1874-07-01	4,46	0,33	0,46	11,89	93,69	6,93	9,66
1874-08-01	4,47	0,33	0,46	11,8	94,66	6,99	9,74
1874-09-01	4,54	0,33	0,46	11,8	96,14	6,99	9,74
1874-10-01	4,53	0,33	0,46	11,61	97,5	7,1	9,9
1874-11-01	4,57	0,33	0,46	11,51	99,17	7,16	9,98
1874-12-01	4,54	0,33	0,46	11,51	98,52	7,16	9,98
1875-01-01	4,54	0,33	0,45	11,51	98,52	7,11	9,8
1875-02-01	4,53	0,33	0,44	11,51	98,31	7,05	9,62
1875-03-01	4,59	0,32	0,43	11,51	99,61	7	9,44
1875-04-01	4,65	0,32	0,43	11,61	100,08	6,89	9,18
1875-05-01	4,47	0,32	0,42	11,32	98,63	7,01	9,23
1875-06-01	4,38	0,32	0,41	11,13	98,3	7,07	9,2
1875-07-01	4,39	0,31	0,4	11,13	98,52	7,01	9,02
1875-08-01	4,41	0,31	0,39	11,23	98,13	6,9	8,75
1875-09-01	4,37	0,31	0,39	11,13	98,08	6,9	8,64
1875-10-01	4,3	0,3	0,38	11,13	96,5	6,85	8,45
1875-11-01	4,37	0,3	0,37	11,04	98,92	6,85	8,34
1875-12-01	4,37	0,3	0,36	10,94	99,78	6,85	8,22
1876-01-01	4,46	0,3	0,35	10,85	102,73	6,91	8,14
1876-02-01	4,52	0,3	0,35	10,85	104,11	6,91	7,99
1876-03-01	4,51	0,3	0,34	10,85	103,88	6,91	7,83
1876-04-01	4,34	0,3	0,33	10,75	100,85	6,97	7,74
1876-05-01	4,18	0,3	0,33	10,37	100,7	7,23	7,87
1876-06-01	4,15	0,3	0,32	10,09	102,8	7,43	7,93
1876-07-01	4,1	0,3	0,31	10,09	101,57	7,43	7,76
1876-08-01	3,93	0,3	0,31	10,18	96,44	7,36	7,53
1876-09-01	3,69	0,3	0,3	10,28	89,72	7,29	7,29
1876-10-01	3,67	0,3	0,29	10,47	87,61	7,16	7
1876-11-01	3,6	0,3	0,29	10,56	85,16	7,1	6,78
1876-12-01	3,58	0,3	0,28	10,75	83,19	6,97	6,51
1877-01-01	3,55	0,29	0,28	10,94	81,06	6,64	6,43
1877-02-01	3,34	0,28	0,28	10,66	78,31	6,6	6,64
1877-03-01	3,17	0,27	0,28	10,18	77,79	6,69	6,99
1877-04-01	2,94	0,26	0,29	10,47	70,18	6,29	6,84
1877-05-01	2,94	0,25	0,29	10,66	68,93	5,96	6,76
1877-06-01	2,73	0,24	0,29	10,09	67,63	6,07	7,18
1877-07-01	2,85	0,24	0,29	10,18	69,94	5,79	7,16
1877-08-01	3,05	0,23	0,29	9,8	77,75	5,78	7,48
1877-09-01	3,24	0,22	0,29	9,7	83,41	5,6	7,59
1877-10-01	3,31	0,21	0,3	9,7	85,21	5,36	7,64
1877-11-01	3,26	0,2	0,3	9,51	85,6	5,23	7,83
1877-12-01	3,25	0,19	0,3	9,51	85,34	4,99	7,88
1878-01-01	3,25	0,19	0,3	9,23	87,98	5,12	8,14
1878-02-01	3,18	0,19	0,3	9,13	86,98	5,15	8,25
1878-03-01	3,24	0,19	0,3	8,94	90,51	5,24	8,45
1878-04-01	3,33	0,19	0,3	8,85	94,02	5,27	8,56
1878-05-01	3,34	0,19	0,3	8,56	97,45	5,42	8,88
1878-06-01	3,41	0,18	0,3	8,37	101,75	5,52	9,1
1878-07-01	3,48	0,18	0,31	8,47	102,67	5,43	9,02
1878-08-01	3,45	0,18	0,31	8,56	100,66	5,35	8,95
1878-09-01	3,52	0,18	0,31	8,56	102,7	5,32	8,97
1878-10-01	3,48	0,18	0,31	8,47	102,67	5,36	9,1
1878-11-01	3,47	0,18	0,31	8,37	103,54	5,39	9,23
1878-12-01	3,45	0,18	0,31	8,18	105,34	5,5	9,47
1879-01-01	3,58	0,18	0,32	8,28	108,05	5,48	9,53
1879-02-01	3,71	0,18	0,32	8,37	110,7	5,47	9,6
1879-03-01	3,65	0,18	0,33	8,28	110,16	5,58	9,88
1879-04-01	3,77	0,19	0,33	8,18	115,11	5,7	10,18
1879-05-01	3,94	0,19	0,34	8,18	120,3	5,75	10,36
1879-06-01	3,96	0,19	0,34	8,09	122,33	5,87	10,66
1879-07-01	4,04	0,19	0,35	8,18	123,35	5,85	10,71
1879-08-01	4,07	0,19	0,36	8,18	124,27	5,9	10,89
1879-09-01	4,22	0,2	0,36	8,47	124,51	5,75	10,7
1879-10-01	4,68	0,2	0,37	8,94	130,73	5,49	10,29
1879-11-01	4,93	0,2	0,37	9,42	130,76	5,26	9,93
1879-12-01	4,92	0,2	0,38	9,7	126,66	5,15	9,78
1880-01-01	5,11	0,2	0,39	9,99	127,79	5,13	9,73
1880-02-01	5,2	0,21	0,4	9,99	130,04	5,25	9,96
1880-03-01	5,3	0,21	0,41	10,09	131,29	5,33	10,09
1880-04-01	5,18	0,22	0,42	9,7	133,35	5,66	10,73
1880-05-01	4,77	0,23	0,43	9,42	126,52	5,97	11,29
1880-06-01	4,79	0,23	0,43	9,23	129,67	6,23	11,78
1880-07-01	5,01	0,23	0,44	9,23	135,62	6,36	12,02
1880-08-01	5,19	0,24	0,45	9,23	140,5	6,5	12,27
1880-09-01	5,18	0,24	0,46	9,32	138,79	6,56	12,39
1880-10-01	5,33	0,25	0,47	9,32	142,81	6,7	12,64
1880-11-01	5,61	0,26	0,48	9,42	148,8	6,76	12,75
1880-12-01	5,84	0,26	0,49	9,51	153,35	6,83	12,87
1881-01-01	6,19	0,27	0,49	9,42	164,18	7,03	12,89
1881-02-01	6,17	0,27	0,48	9,51	162,01	7,09	12,65
1881-03-01	6,24	0,28	0,48	9,51	163,85	7,22	12,54
1881-04-01	6,22	0,28	0,47	9,61	161,71	7,28	12,31
1881-05-01	6,5	0,28	0,47	9,51	170,68	7,48	12,32
1881-06-01	6,58	0,29	0,47	9,51	172,78	7,61	12,21
1881-07-01	6,35	0,29	0,46	9,61	165,09	7,67	11,98
1881-08-01	6,2	0,3	0,46	9,8	158,06	7,65	11,64
1881-09-01	6,25	0,3	0,45	10,18	153,38	7,48	11,1
1881-10-01	6,15	0,31	0,45	10,28	149,53	7,54	10,9
1881-11-01	6,19	0,32	0,44	10,18	151,91	7,73	10,9
1881-12-01	6,01	0,32	0,44	10,18	147,49	7,85	10,8
1882-01-01	5,92	0,32	0,44	10,18	145,28	7,85	10,78
1882-02-01	5,79	0,32	0,44	10,28	140,77	7,78	10,66
1882-03-01	5,78	0,32	0,44	10,28	140,53	7,78	10,64
1882-04-01	5,78	0,32	0,44	10,37	139,24	7,71	10,52
1882-05-01	5,71	0,32	0,44	10,47	136,3	7,64	10,4
1882-06-01	5,68	0,32	0,43	10,56	134,37	7,57	10,29
1882-07-01	6	0,32	0,43	10,47	143,23	7,64	10,36
1882-08-01	6,18	0,32	0,43	10,56	146,19	7,57	10,25
1882-09-01	6,24	0,32	0,43	10,28	151,71	7,78	10,52
1882-10-01	6,07	0,32	0,43	10,18	148,96	7,85	10,59
1882-11-01	5,81	0,32	0,43	10,09	143,93	7,93	10,67
1882-12-01	5,84	0,32	0,43	9,99	146,05	8	10,75
1883-01-01	5,81	0,32	0,43	9,99	145,29	8,02	10,69
1883-02-01	5,68	0,32	0,42	10,09	140,7	7,97	10,53
1883-03-01	5,75	0,32	0,42	9,99	143,79	8,06	10,57
