	date	pce	unemploy
1	01.07.1967	507,4	2944
2	01.08.1967	510,5	2945
3	01.09.1967	516,3	2958
4	01.10.1967	512,9	3143
5	01.11.1967	518,1	3066
6	01.12.1967	525,8	3018
7	01.01.1968	531,5	2878
8	01.02.1968	534,2	3001
9	01.03.1968	544,9	2877
10	01.04.1968	544,6	2709
11	01.05.1968	550,4	2740
12	01.06.1968	556,8	2938
13	01.07.1968	563,8	2883
14	01.08.1968	567,6	2768
15	01.09.1968	568,8	2686
16	01.10.1968	572,3	2689
17	01.11.1968	577,4	2715
18	01.12.1968	577,2	2685
19	01.01.1969	584,2	2718
20	01.02.1969	589,5	2692
21	01.03.1969	589,7	2712
22	01.04.1969	594,7	2758
23	01.05.1969	601,1	2713
24	01.06.1969	601,7	2816
25	01.07.1969	603,5	2868
26	01.08.1969	610,8	2856
27	01.09.1969	614,1	3040
28	01.10.1969	619,4	3049
29	01.11.1969	621,4	2856
30	01.12.1969	623,7	2884
31	01.01.1970	629,6	3201
32	01.02.1970	634,9	3453
33	01.03.1970	633,2	3635
34	01.04.1970	637	3797
35	01.05.1970	643,4	3919
36	01.06.1970	647,2	4071
37	01.07.1970	649,5	4175
38	01.08.1970	653,9	4256
39	01.09.1970	660,1	4456
40	01.10.1970	659,3	4591
41	01.11.1970	657,6	4898
42	01.12.1970	666,6	5076
43	01.01.1971	677,2	4986
44	01.02.1971	680,4	4903
45	01.03.1971	683	4987
46	01.04.1971	689,8	4959
47	01.05.1971	692,2	4996
48	01.06.1971	700,8	4949
49	01.07.1971	699,9	5035
50	01.08.1971	706	5134
51	01.09.1971	714,1	5042
52	01.10.1971	716,9	4954
53	01.11.1971	722,1	5161
54	01.12.1971	729,6	5154
55	01.01.1972	732,6	5019
56	01.02.1972	737,3	4928
57	01.03.1972	750,4	5038
58	01.04.1972	753,8	4959
59	01.05.1972	759,2	4922
60	01.06.1972	762,9	4923
61	01.07.1972	771,2	4913
62	01.08.1972	777,7	4939
63	01.09.1972	782,5	4849
64	01.10.1972	796,3	4875
65	01.11.1972	801,8	4602
66	01.12.1972	807,5	4543
67	01.01.1973	817,9	4326
68	01.02.1973	827,2	4452
69	01.03.1973	834,2	4394
70	01.04.1973	837,2	4459
71	01.05.1973	843,1	4329
72	01.06.1973	845,8	4363
73	01.07.1973	855,7	4305
74	01.08.1973	854,9	4305
75	01.09.1973	870,9	4350
76	01.10.1973	869,8	4144
77	01.11.1973	878,6	4396
78	01.12.1973	878,4	4489
79	01.01.1974	886,4	4644
80	01.02.1974	891,6	4731
81	01.03.1974	903,3	4634
82	01.04.1974	912,7	4618
83	01.05.1974	924,3	4705
84	01.06.1974	929,9	4927
85	01.07.1974	939,8	5063
86	01.08.1974	956,6	5022
87	01.09.1974	956,8	5437
88	01.10.1974	961	5523
89	01.11.1974	958	6140
90	01.12.1974	963,6	6636
91	01.01.1975	977,4	7501
92	01.02.1975	991,3	7520
93	01.03.1975	992,6	7978
94	01.04.1975	997,2	8210
95	01.05.1975	1021,2	8433
96	01.06.1975	1029,1	8220
97	01.07.1975	1042,2	8127
98	01.08.1975	1049,4	7928
99	01.09.1975	1057,2	7923
100	01.10.1975	1063,2	7897
101	01.11.1975	1078	7794
102	01.12.1975	1094,4	7744
103	01.01.1976	1109,5	7534
104	01.02.1976	1110,1	7326
105	01.03.1976	1117,3	7230
106	01.04.1976	1127,8	7330
107	01.05.1976	1125,1	7053
108	01.06.1976	1142,9	7322
109	01.07.1976	1152,1	7490
110	01.08.1976	1160,5	7518
111	01.09.1976	1171,4	7380
112	01.10.1976	1179,5	7430
113	01.11.1976	1191,7	7620
114	01.12.1976	1214,1	7545
115	01.01.1977	1217,4	7280
116	01.02.1977	1233,7	7443
117	01.03.1977	1240,7	7307
118	01.04.1977	1249,7	7059
119	01.05.1977	1259,6	6911
120	01.06.1977	1266,3	7134
121	01.07.1977	1283,2	6829
