DATE	PRCP	TAVG	TMAX	TMIN
01.01.2019	0,07	43	46	40
02.01.2019	0	38	43	32
03.01.2019	0	38	41	33
04.01.2019	0,02	36	39	34
05.01.2019	0,05	41	43	37
06.01.2019	0	40	41	38
07.01.2019	0,16	41	47	35
08.01.2019	0,23	43	47	39
09.01.2019	0,01	38	43	35
10.01.2019	0	34	36	32
11.01.2019	0,13	39	44	33
12.01.2019	0,19	43	45	41
13.01.2019	0,36	46	48	44
14.01.2019	0,03	41	44	36
15.01.2019	0	41	44	36
16.01.2019	0,03	42	43	40
17.01.2019	0,35	38	42	32
18.01.2019	0	33	36	29
19.01.2019	0	31	38	26
20.01.2019	0	27	34	21
21.01.2019	0	26	35	18
22.01.2019	0,11	27	30	21
23.01.2019	0	27	31	23
24.01.2019	0	28	31	26
25.01.2019	0,09	33	38	30
26.01.2019	0,02	42	44	38
27.01.2019	0,37	41	44	36
28.01.2019	0,33	36	42	34
29.01.2019	0,02	35	40	31
30.01.2019	0,13	31	34	29
31.01.2019	0	28	31	23
01.02.2019	0,03	35	44	30
02.02.2019	0,33	34	36	32
03.02.2019	0	36	42	30
04.02.2019	0	36	40	30
05.02.2019	0,01	38	42	33
06.02.2019	0,07	42	48	33
07.02.2019	0,06	45	50	41
08.02.2019	0,08	46	49	40
09.02.2019	0,08	47	51	45
10.02.2019	0,79	44	49	38
11.02.2019	0,01	39	45	33
12.02.2019	0	37	46	29
13.02.2019	0	38	45	32
14.02.2019	0	43	60	29
15.02.2019	0	48	63	34
16.02.2019	0	47	59	38
17.02.2019	0	50	65	38
18.02.2019	0	49	61	40
19.02.2019	0	46	52	38
20.02.2019	0	44	53	37
21.02.2019	0	49	55	39
22.02.2019	0	48	52	42
23.02.2019	0	44	54	36
24.02.2019	0	45	59	32
25.02.2019	0	48	63	35
26.02.2019	0	51	65	38
27.02.2019	0	53	68	38
28.02.2019	0,1	47	55	39
01.03.2019	0,26	44	48	42
02.03.2019	0,01	46	50	42
03.03.2019	0,07	51	55	47
04.03.2019	0,22	48	55	41
05.03.2019	0,11	44	50	38
06.03.2019	0,02	51	56	46
07.03.2019	0,18	48	54	44
08.03.2019	0,1	46	51	42
09.03.2019	0,42	49	53	45
10.03.2019	0,36	46	53	36
11.03.2019	0,2	39	47	33
12.03.2019	0,02	44	51	35
13.03.2019	0,34	42	47	39
14.03.2019	0,37	45	53	42
15.03.2019	0,98	49	53	43
16.03.2019	0,35	50	52	45
17.03.2019	0,12	44	52	36
18.03.2019		41		
19.03.2019	0	41	52	30
20.03.2019	0	46	55	37
21.03.2019	0	50	62	38
22.03.2019	0	53	67	36
23.03.2019	0	47	51	43
24.03.2019	0	47	53	35
25.03.2019	0,03	44	49	36
26.03.2019	0	44	48	39
27.03.2019	0	45	51	37
28.03.2019	0	48	55	41
29.03.2019	0	51	63	36
30.03.2019	0	56	65	45
31.03.2019	0	49	56	41
01.04.2019	0	48	61	35
02.04.2019	0,23	51	60	44
03.04.2019	0,04	44	49	39
04.04.2019	0	43	50	37
05.04.2019	0	44	53	32
06.04.2019	0	52	61	44
07.04.2019	0	57	67	45
08.04.2019	0,01	52	57	48
09.04.2019	0	52	58	47
10.04.2019	0	47	56	39
11.04.2019	0	43	53	32
12.04.2019	0	40	47	34
13.04.2019	0,01	37	45	30
14.04.2019	0	41	52	34
15.04.2019	0	49	63	33
16.04.2019	0	55	67	45
17.04.2019	0	54	60	49
18.04.2019	0	60	71	47
19.04.2019	0	62	75	49
20.04.2019	0	63	76	48
21.04.2019	0	61	75	45
22.04.2019	0	65	76	51
23.04.2019	0	60	69	51
24.04.2019	0,35	62	76	49
25.04.2019	0,07	55	64	49
26.04.2019	0,02	53	63	46
27.04.2019	0,09	50	56	46
28.04.2019	0	48	56	40
29.04.2019	0	50	61	36
30.04.2019	0	53	62	44
01.05.2019	0	50	63	40
02.05.2019	0	49		
03.05.2019	0,06	48	55	
04.05.2019	0,48	42	51	
05.05.2019	0,01	43	53	
06.05.2019	0	42	55	33
07.05.2019	0	48	57	39
08.05.2019		50	54	
09.05.2019	0,12	53	62	45
10.05.2019	0,28	52	61	48
11.05.2019	0,04	52	60	
12.05.2019	0	48	58	36
13.05.2019	0	50	60	36
14.05.2019	0	50	61	39
15.05.2019	0	52	62	37
20.05.2019	0,07	55	58	
21.05.2019	0	53	60	
22.05.2019	0	57	68	49
23.05.2019	0	61	72	45
24.05.2019	0	62	74	49
25.05.2019	0	56	67	42
26.05.2019	0	61	72	48
27.05.2019	0,22	59	68	
28.05.2019	0	53	58	
29.05.2019	0,64	56		42
30.05.2019	0	61	71	55
31.05.2019	0	63		
01.06.2019	0	68		53
02.06.2019	0	76	88	60
03.06.2019	0,35	66	73	
04.06.2019	0	68	83	55
05.06.2019	0,03	66	73	
06.06.2019	1,03	58		
