Date	VIX Open
02.01.2004	17,96
05.01.2004	18,45
06.01.2004	17,66
07.01.2004	16,72
08.01.2004	15,42
09.01.2004	16,15
12.01.2004	17,32
13.01.2004	16,6
14.01.2004	17,29
15.01.2004	17,07
16.01.2004	15,4
20.01.2004	15,77
21.01.2004	15,63
22.01.2004	14,2
23.01.2004	14,73
26.01.2004	15,78
27.01.2004	15,28
28.01.2004	15,37
29.01.2004	16,88
30.01.2004	16,55
02.02.2004	17,45
03.02.2004	17,29
04.02.2004	17,84
05.02.2004	17,91
06.02.2004	17,71
09.02.2004	16,54
10.02.2004	16,41
11.02.2004	15,9
12.02.2004	15,36
13.02.2004	15,12
17.02.2004	15,63
18.02.2004	15,51
19.02.2004	15,33
20.02.2004	15,85
23.02.2004	16,5
24.02.2004	16,38
25.02.2004	15,58
26.02.2004	15,32
27.02.2004	13,8
01.03.2004	14,91
02.03.2004	14,59
03.03.2004	14,73
04.03.2004	14,45
05.03.2004	14,81
08.03.2004	14,83
09.03.2004	15,57
10.03.2004	16,12
11.03.2004	18,81
12.03.2004	19,94
15.03.2004	18,98
16.03.2004	20,27
17.03.2004	19,54
18.03.2004	18,38
19.03.2004	17,98
22.03.2004	20,61
23.03.2004	21,06
24.03.2004	20,24
25.03.2004	19,58
26.03.2004	18,19
29.03.2004	17,11
30.03.2004	16,68
31.03.2004	16,33
01.04.2004	16,76
02.04.2004	15,21
05.04.2004	16,17
06.04.2004	15,35
07.04.2004	15,41
08.04.2004	14,96
12.04.2004	15,71
13.04.2004	15,29
14.04.2004	17,29
15.04.2004	16,02
16.04.2004	15,59
19.04.2004	15,73
20.04.2004	15,24
21.04.2004	16,61
22.04.2004	15,89
23.04.2004	14,42
26.04.2004	14,75
27.04.2004	15,05
28.04.2004	15,55
29.04.2004	16,36
30.04.2004	16,27
03.05.2004	17,69
04.05.2004	16,8
05.05.2004	16,43
06.05.2004	16,45
07.05.2004	17,22
10.05.2004	19,44
11.05.2004	19,23
12.05.2004	18,79
13.05.2004	18,78
14.05.2004	18,66
17.05.2004	19,7
18.05.2004	19,6
19.05.2004	18,48
20.05.2004	18,6
21.05.2004	18,73
24.05.2004	18,79
25.05.2004	18,41
26.05.2004	16,09
27.05.2004	15,74
28.05.2004	15,44
01.06.2004	16,6
02.06.2004	16,05
03.06.2004	16,43
04.06.2004	16,24
07.06.2004	16,6
08.06.2004	15,79
09.06.2004	14,56
10.06.2004	15,33
14.06.2004	15,54
15.06.2004	15,34
16.06.2004	14,83
17.06.2004	15,06
18.06.2004	14,74
21.06.2004	15,61
22.06.2004	15,44
23.06.2004	14,6
24.06.2004	14,39
25.06.2004	14,78
28.06.2004	15,28
29.06.2004	15,22
30.06.2004	15,27
01.07.2004	14,74
02.07.2004	15,23
06.07.2004	16,25
07.07.2004	16,36
08.07.2004	15,86
09.07.2004	16,01
12.07.2004	15,25
13.07.2004	14,86
14.07.2004	14,9
15.07.2004	13,94
16.07.2004	14,27
19.07.2004	15,17
20.07.2004	15,53
21.07.2004	14
22.07.2004	16,65
23.07.2004	15,82
26.07.2004	17,22
27.07.2004	17,24
28.07.2004	16,77
29.07.2004	16
30.07.2004	15,85
02.08.2004	16,42
03.08.2004	15,56
04.08.2004	16,33
05.08.2004	16,19
06.08.2004	18,21
09.08.2004	19,97
10.08.2004	18,8
11.08.2004	18,15
12.08.2004	18,61
13.08.2004	18,91
16.08.2004	19,28
17.08.2004	16,58
18.08.2004	17,55
19.08.2004	16,54
20.08.2004	16,99
23.08.2004	16,68
24.08.2004	15,63
25.08.2004	15,4
26.08.2004	15,22
27.08.2004	14,91
30.08.2004	15,35
31.08.2004	15,64
01.09.2004	15,39
02.09.2004	14,97
03.09.2004	14,36
07.09.2004	14,52
08.09.2004	14,16
09.09.2004	14,12
10.09.2004	13,9
13.09.2004	13,64
14.09.2004	13,5
15.09.2004	13,88
16.09.2004	14,29
17.09.2004	14,11
20.09.2004	13,98
21.09.2004	15,98
22.09.2004	15,28
23.09.2004	14,85
24.09.2004	14,93
27.09.2004	14,86
28.09.2004	14,73
29.09.2004	14,09
30.09.2004	13,49
01.10.2004	13,11
04.10.2004	13,05
05.10.2004	13,51
06.10.2004	14,01
07.10.2004	13,33
08.10.2004	14,7
11.10.2004	14,69
12.10.2004	15,21
13.10.2004	13,92
14.10.2004	15,22
15.10.2004	16,28
18.10.2004	16,16
19.10.2004	16,32
20.10.2004	15,46
21.10.2004	14,98
22.10.2004	14,59
25.10.2004	16,07
26.10.2004	16,72
27.10.2004	16,48
28.10.2004	16,02
29.10.2004	15,83
01.11.2004	16,43
02.11.2004	15,99
03.11.2004	15,05
04.11.2004	13,83
05.11.2004	13,67
08.11.2004	14,11
09.11.2004	12,89
10.11.2004	13,16
11.11.2004	13,11
12.11.2004	13,24
15.11.2004	14,05
16.11.2004	13,41
17.11.2004	13,2
18.11.2004	13,22
19.11.2004	12,79
22.11.2004	13,71
23.11.2004	12,78
24.11.2004	12,58
26.11.2004	12,76
29.11.2004	12,99
30.11.2004	13,27
01.12.2004	13,1
02.12.2004	12,97
03.12.2004	13,02
06.12.2004	12,95
07.12.2004	13,07
08.12.2004	13,52
09.12.2004	13,52
10.12.2004	13,05
13.12.2004	12,37
14.12.2004	12,55
15.12.2004	12,41
16.12.2004	12,34
17.12.2004	12,34
20.12.2004	12,26
21.12.2004	11,78
22.12.2004	11,42
23.12.2004	11,41
27.12.2004	11,53
28.12.2004	12,25
29.12.2004	11,61
30.12.2004	12,25
31.12.2004	12,42
03.01.2005	13,39
04.01.2005	14,01
05.01.2005	13,98
06.01.2005	14,09
07.01.2005	13,47
10.01.2005	13,92
11.01.2005	13,44
12.01.2005	13,94
13.01.2005	12,7
14.01.2005	12,68
18.01.2005	13,13
19.01.2005	12,47
20.01.2005	13,37
21.01.2005	13,75
24.01.2005	14,38
25.01.2005	14,34
26.01.2005	13,84
27.01.2005	13,5
28.01.2005	13,15
31.01.2005	13,63
01.02.2005	12,8
02.02.2005	12,01
03.02.2005	12,03
04.02.2005	11,97
07.02.2005	11,53
08.02.2005	11,66
09.02.2005	11,52
10.02.2005	11,98
11.02.2005	11,64
14.02.2005	11,28
15.02.2005	11,57
16.02.2005	11,4
17.02.2005	11,25
18.02.2005	11,99
22.02.2005	12,18
23.02.2005	12,94
24.02.2005	12,51
25.02.2005	11,75
28.02.2005	11,89
01.03.2005	11,95
02.03.2005	12,88
03.03.2005	12,28
04.03.2005	12,49
07.03.2005	12,36
08.03.2005	12,06
09.03.2005	12,23
10.03.2005	12,62
11.03.2005	12,29
14.03.2005	12,82
15.03.2005	12,44
16.03.2005	13,3
17.03.2005	13,25
18.03.2005	13,65
21.03.2005	13,62
22.03.2005	13,76
23.03.2005	14,61
24.03.2005	13,86
28.03.2005	14,01
29.03.2005	13,96
30.03.2005	14,47
31.03.2005	13,71
01.04.2005	13,64
04.04.2005	14,53
05.04.2005	14,1
06.04.2005	13,75
07.04.2005	12,92
08.04.2005	12,06
11.04.2005	12,09
12.04.2005	12,12
13.04.2005	11,68
14.04.2005	13,4
15.04.2005	14,92
18.04.2005	18,33
19.04.2005	15,28
20.04.2005	14,86
21.04.2005	16,22
22.04.2005	14,54
25.04.2005	15,29
26.04.2005	14,27
27.04.2005	14,62
28.04.2005	14,19
29.04.2005	15,75
02.05.2005	15,45
03.05.2005	15,19
04.05.2005	14,44
05.05.2005	13,48
06.05.2005	13,29
09.05.2005	14,11
10.05.2005	14,05
11.05.2005	14,69
12.05.2005	14,43
13.05.2005	15,88
16.05.2005	16,87
17.05.2005	15,92
18.05.2005	14,11
19.05.2005	13,35
20.05.2005	13,57
23.05.2005	13,38
24.05.2005	13,12
25.05.2005	12,83
26.05.2005	12,23
27.05.2005	12,06
31.05.2005	12,69
01.06.2005	13,34
02.06.2005	12,35
03.06.2005	11,78
06.06.2005	12,68
07.06.2005	12,22
08.06.2005	12,05
09.06.2005	12,69
10.06.2005	12,16
13.06.2005	12,12
14.06.2005	11,65
15.06.2005	11,22
16.06.2005	11,24
17.06.2005	10,83
20.06.2005	12,51
21.06.2005	11,52
22.06.2005	10,96
23.06.2005	11,19
24.06.2005	12,27
27.06.2005	12,73
28.06.2005	12,31
29.06.2005	11,54
30.06.2005	11,72
01.07.2005	11,75
05.07.2005	12,41
06.07.2005	11,67
07.07.2005	13,91
08.07.2005	12,24
11.07.2005	10,96
12.07.2005	11,03
13.07.2005	11,09
14.07.2005	10,87
15.07.2005	10,61
18.07.2005	11,09
19.07.2005	10,63
20.07.2005	10,8
21.07.2005	10,23
22.07.2005	11,01
25.07.2005	11,12
26.07.2005	11,11
27.07.2005	11,03
28.07.2005	10,4
29.07.2005	10,24
01.08.2005	11,75
02.08.2005	12
03.08.2005	11,9
