Aachen-Orsbach;STAT;JJJJMMDD;QN;TG;TN;TM;TX;RFM;FM;FX;SO;NM;RR;PM
10505;20190610;1;8;10,5;15,3;22;78,8;2;13,4;4,2;7,2;22,4;985,1;
10505;20190609;1;7,8;9,2;15;19,5;64,8;2;8,1;5,8;6,7;0;993,9;
10505;20190608;1;9,2;10,6;13,5;17,8;64,7;5;22,7;5,5;5;0,1;990,1;
10505;20190607;1;5,9;7,7;14,7;23,4;67,7;4;20,1;8,5;6,1;0,2;982,4;
10505;20190606;1;7,2;8,5;12,9;17,4;78,3;3;13,4;6,3;5;0;985;
10505;20190605;1;14,5;14,7;18,5;21,8;78;2;10,1;7,9;6,2;25,5;979,8;
10505;20190604;1;9,6;11,5;19,7;26,7;72,7;3;20,6;6,9;6,8;0,1;981,8;
10505;20190603;1;13,9;14,8;18,2;20,9;79,5;2;13,1;2,8;7,2;0;986,4;
10505;20190602;1;13;15,2;23,1;28,7;56,6;3;10,1;14,8;1,3;10,8;987,1;
10505;20190601;1;7,2;10,4;18,8;25,7;68,9;2;5,7;14;6,3;0;994,1;
10505;20190531;1;7,6;10,9;16,1;20,7;73,3;3;9,4;8,8;4,8;0;997,4;
10505;20190530;1;12;12,7;15,1;19;77;3;10,2;2;7,1;0;995,8;
10505;20190529;1;1,6;4;12,3;18,6;68,6;2;8;14;1,4;0;993,2;
10505;20190528;1;4,6;7,6;10,4;13,3;87,5;3;14,1;1,2;6,9;11,8;982,7;
10505;20190527;1;9,1;10,7;14;17,7;78,7;3;9,6;3,2;7,5;0;982,4;
10505;20190526;1;8,1;9,4;14,8;19,3;76,7;3;11,4;5,6;7,3;7,1;987;
10505;20190525;1;2,9;6,2;12,3;18,2;72,8;2;9;7,5;4;0;989,9;
10505;20190524;1;4,7;8,3;15,9;21,6;57,7;3;10,1;8,7;7,2;0;988,1;
10505;20190523;1;3,5;7,1;14,8;20,8;61;2;8,4;12,8;6,6;0;990,7;
10505;20190522;1;5,4;8,4;12,3;18,2;72,9;2;6,7;6,3;6,6;0;992;
10505;20190521;1;9,2;9,3;10,6;13,5;94,1;3;10,6;0,2;7,8;6,3;986,7;
10505;20190520;1;10,2;10,6;12;13,8;93,6;3;9,5;0;7,8;0,6;981,1;
10505;20190519;1;9,9;11,1;14,1;18,8;88,1;2;6,7;2,6;7,6;2,9;978,4;
10505;20190518;1;6,1;7,5;12,3;18,4;90;2;7,7;2,7;7,4;17,1;978,7;
10505;20190517;1;7,6;7,4;9,5;11,5;95,9;2;6,3;0;7,6;1,8;979,7;
10505;20190516;1;-0,7;3,9;9,8;15,3;66;2;8,5;8,5;5;2,9;989;
10505;20190515;1;-1,7;3,1;9,8;15;51,5;3;10,3;14,4;0,4;0;997,2;
10505;20190514;1;0,1;3,9;9,3;14,4;60,2;3;10,6;13,9;3;0;1003,8;
10505;20190513;1;0,6;2,2;8,9;14,3;57,3;3;11;14,2;2,9;0;1009,2;
10505;20190512;1;-0,9;2,7;8;12,9;67,5;2;7,7;6,8;4,5;0;1005;
