DATE	PRCP
24.07.2018	0,07
25.07.2018	0
26.07.2018	0,41
27.07.2018	0
28.07.2018	0,03
29.07.2018	0,27
30.07.2018	1,88
31.07.2018	0,15
01.08.2018	0,15
02.08.2018	0
03.08.2018	0,35
04.08.2018	1,32
05.08.2018	0
06.08.2018	0
07.08.2018	0
08.08.2018	0
09.08.2018	0,44
10.08.2018	0
11.08.2018	0
12.08.2018	0
13.08.2018	0,8
14.08.2018	0
15.08.2018	0,02
16.08.2018	0,02
17.08.2018	0
18.08.2018	0
19.08.2018	0,04
20.08.2018	0,01
21.08.2018	0,09
22.08.2018	0,03
23.08.2018	0
24.08.2018	0
25.08.2018	0
26.08.2018	0
27.08.2018	0
28.08.2018	0
29.08.2018	0
30.08.2018	0
31.08.2018	0,01
01.09.2018	0,4
02.09.2018	0
03.09.2018	0,51
04.09.2018	0
05.09.2018	0,01
06.09.2018	0
07.09.2018	0
08.09.2018	0
09.09.2018	0
10.09.2018	0,95
11.09.2018	0,11
12.09.2018	0,05
13.09.2018	0
14.09.2018	0
15.09.2018	1,27
16.09.2018	3,65
17.09.2018	3,93
18.09.2018	0,33
19.09.2018	0,01
20.09.2018	0
21.09.2018	0
22.09.2018	0
23.09.2018	0
24.09.2018	0
25.09.2018	0
26.09.2018	0
27.09.2018	0,63
28.09.2018	0,26
29.09.2018	0
30.09.2018	0
01.10.2018	0
02.10.2018	0
03.10.2018	0
04.10.2018	0
05.10.2018	0
06.10.2018	0
07.10.2018	0
08.10.2018	0
09.10.2018	0,03
10.10.2018	0,02
11.10.2018	0,65
12.10.2018	1,98
13.10.2018	0
14.10.2018	0
15.10.2018	0
16.10.2018	0
17.10.2018	0,61
19.10.2018	0
20.10.2018	0
21.10.2018	0,02
22.10.2018	0
23.10.2018	0
24.10.2018	0
25.10.2018	0
26.10.2018	0,19
27.10.2018	1
28.10.2018	0,02
29.10.2018	0
30.10.2018	0
31.10.2018	0
01.11.2018	0
02.11.2018	0,27
03.11.2018	0,05
04.11.2018	0
05.11.2018	0,25
06.11.2018	0,05
07.11.2018	0,23
08.11.2018	0,15
09.11.2018	0,1
10.11.2018	0,05
11.11.2018	0
12.11.2018	0
13.11.2018	4,19
14.11.2018	0,14
15.11.2018	0,62
16.11.2018	0,39
17.11.2018	0
18.11.2018	0
19.11.2018	0,09
20.11.2018	0,01
21.11.2018	0
22.11.2018	0
23.11.2018	0
24.11.2018	0,18
25.11.2018	1,01
30.11.2018	
01.12.2018	0,02
02.12.2018	0,92
03.12.2018	0,01
04.12.2018	0
05.12.2018	0
06.12.2018	0
07.12.2018	0
08.12.2018	0
09.12.2018	0,72
10.12.2018	1,05
11.12.2018	0,07
12.12.2018	0
13.12.2018	0
14.12.2018	0,06
15.12.2018	1,27
16.12.2018	0,05
17.12.2018	0
18.12.2018	0
19.12.2018	0
20.12.2018	0,02
21.12.2018	1,12
22.12.2018	0,14
23.12.2018	0
24.12.2018	0
25.12.2018	0
26.12.2018	0
27.12.2018	0
28.12.2018	0,14
29.12.2018	0,75
30.12.2018	0,17
31.12.2018	0,03
01.01.2019	0,08
02.01.2019	0,01
03.01.2019	0,19
04.01.2019	0,21
05.01.2019	0,58
06.01.2019	0,01
07.01.2019	0
08.01.2019	0
09.01.2019	0
10.01.2019	0
11.01.2019	0
12.01.2019	0
13.01.2019	0,73
14.01.2019	0,03
15.01.2019	0
16.01.2019	0
17.01.2019	0
18.01.2019	0,1
19.01.2019	0,02
20.01.2019	0,74
21.01.2019	0
22.01.2019	0
23.01.2019	0
24.01.2019	0,56
25.01.2019	0,31
26.01.2019	0
27.01.2019	0
28.01.2019	0
29.01.2019	0
30.01.2019	0,29
31.01.2019	0
01.02.2019	0
02.02.2019	0
03.02.2019	0
04.02.2019	0
05.02.2019	0
06.02.2019	0
07.02.2019	0
08.02.2019	0
09.02.2019	0
10.02.2019	0
11.02.2019	0,04
12.02.2019	0,17
13.02.2019	0,24
15.02.2019	0
16.02.2019	0,45
18.02.2019	0,55
19.02.2019	0,02
20.02.2019	0,32
21.02.2019	0,24
22.02.2019	0,54
23.02.2019	0,13
24.02.2019	0,08
25.02.2019	0,02
26.02.2019	0
27.02.2019	0
28.02.2019	0
01.03.2019	0,08
02.03.2019	0,92
03.03.2019	0,01
04.03.2019	0,76
05.03.2019	0,01
06.03.2019	0
07.03.2019	0
08.03.2019	0
09.03.2019	0,36
10.03.2019	0,01
11.03.2019	0,03
12.03.2019	0
13.03.2019	0
14.03.2019	0
15.03.2019	0
16.03.2019	0,16
17.03.2019	0
18.03.2019	0
19.03.2019	0
20.03.2019	0
21.03.2019	0,91
22.03.2019	0,03
23.03.2019	0
24.03.2019	0
25.03.2019	0
26.03.2019	0,18
27.03.2019	0,01
28.03.2019	0
29.03.2019	0
30.03.2019	0
31.03.2019	0
01.04.2019	0,02
02.04.2019	0,02
03.04.2019	1,04
04.04.2019	0
05.04.2019	0,08
06.04.2019	0,95
07.04.2019	0
08.04.2019	0
09.04.2019	2,28
10.04.2019	0,04
11.04.2019	0
12.04.2019	0,02
13.04.2019	1
14.04.2019	0,6
15.04.2019	0,2
16.04.2019	0
17.04.2019	0
18.04.2019	0
19.04.2019	0
20.04.2019	0,58
21.04.2019	0
22.04.2019	0
23.04.2019	0
24.04.2019	0
25.04.2019	0
26.04.2019	0
27.04.2019	0,06
28.04.2019	0
29.04.2019	0
30.04.2019	0
01.05.2019	0
02.05.2019	0
03.05.2019	0
04.05.2019	0,06
05.05.2019	1,23
06.05.2019	0
07.05.2019	0
08.05.2019	0
09.05.2019	0
10.05.2019	0
11.05.2019	0,03
12.05.2019	1,28
13.05.2019	0,05
14.05.2019	0
15.05.2019	0
16.05.2019	0
17.05.2019	0
18.05.2019	0
20.05.2019	0
21.05.2019	0
22.05.2019	0
23.05.2019	0
24.05.2019	0
25.05.2019	0
26.05.2019	0
27.05.2019	0
28.05.2019	0
29.05.2019	0
31.05.2019	0
03.06.2019	
04.06.2019	0
05.06.2019	0
06.06.2019	0,47
07.06.2019	0
